danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,album,disc_number,name,popularity,preview_url,track_number,uri,playlist_id,playlist,artist,artists_id,album_id
0.51,0.31,1,-19.251,1,0.682,0.181,0.0,0.362,0.249,105.178,11rBpnABsiVmc3YD66izVN,241500,3,Deep Sleep Hypnosis With Binaural Delta Waves,1,Putting The Worry Aside,28,https://p.scdn.co/mp3-preview/b68887d3f3273a1fe6d52623545ef7829f856694?cid=774b29d4f13844c495f206cafdad9c86,4,spotify:track:11rBpnABsiVmc3YD66izVN,5T54YmcS3PsSghWrqivfms,Speechiness,Anna Thompson,5JoRvqviRCB3B6i4b1vBCl,057gaeRdN7dLTknh3IN1Yw
0.633,0.669,4,-8.386,0,0.942,0.913,0.0,0.846,0.663,83.569,1OiANkZGP9pHyEbwlgNoq2,333573,4,Gestern war heute morgen,1,Autofahren,36,https://p.scdn.co/mp3-preview/fe645502a6b2be85622c3a3219478d8717fb5744?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:1OiANkZGP9pHyEbwlgNoq2,5T54YmcS3PsSghWrqivfms,Speechiness,Günter Grünwald,3ftd63vWRug23pnrCz53g6,0jKGSCxixFJuoQyS0JbmeN
0.53,0.487,2,-17.814,1,0.928,0.988,0.00134,0.21,0.637,205.146,1WT7wA4bfZ0nMuymSAd5RB,62693,3,Maori Songs Of New Zealand II,1,Ka Mate Ka Mate,22,https://p.scdn.co/mp3-preview/7c499b27f796cdaaaffe275113101e011e928df7?cid=774b29d4f13844c495f206cafdad9c86,8,spotify:track:1WT7wA4bfZ0nMuymSAd5RB,5T54YmcS3PsSghWrqivfms,Speechiness,Aotearoa Maori Chorale,5N1bdjsaYbQqvdCznZClnh,4eF384aaOPZzPf9ud7lw3E
0.658,0.607,1,-8.486,0,0.76,0.424,0.0,0.269,0.773,84.664,6xBWhPv8B16M3Lfa0G3xAe,111867,4,Folge 9: Eine ebenbürtige Gegnerin / Ladybug in Nöten (Das Original-Hörspiel zur TV-Serie),1,Kapitel 1: Eine ebenbürtige Gegnerin,0,,1,spotify:track:6xBWhPv8B16M3Lfa0G3xAe,5T54YmcS3PsSghWrqivfms,Speechiness,Miraculous,0g12RW7N9VQmkjkcQreys3,3nsTeJY8pVP0eDmMZVv7q4
0.647,0.667,4,-2.755,1,0.855,0.818,0.0,0.618,0.541,90.496,2uODswvtqDImhmVvoyDBIH,251920,4,Lindemans låda cd 1,1,Fotbollstränare Bob Lindeman,21,https://p.scdn.co/mp3-preview/61cd16e13452c2a7b60e8f441d4bbb1d0e83e07b?cid=774b29d4f13844c495f206cafdad9c86,4,spotify:track:2uODswvtqDImhmVvoyDBIH,5T54YmcS3PsSghWrqivfms,Speechiness,Hasse Alfredson,7bQVHmJKaxiXYkZ2miMrwb AND 3camrFRWQjBFgfzZ6W62Ob,1fcwWfnwSzLaQECjyWsvYT
0.607,0.125,5,-11.475,1,0.909,0.191,0.0,0.0987,0.171,170.001,4nZwxdMucDnoh3blRUtiFt,278336,3,Libro de audio de inglés-español para principiantes,2,Verbos/acciones en Inglés,22,https://p.scdn.co/mp3-preview/31c7e4652a08ea76ef7e8978f3f3e456ab66aa39?cid=774b29d4f13844c495f206cafdad9c86,8,spotify:track:4nZwxdMucDnoh3blRUtiFt,5T54YmcS3PsSghWrqivfms,Speechiness,Global Publishers Canada Inc.,26F0RxUxwCswnFxX3gecaD,05XOxYsMvNnhoCxvszyMDo
0.469,0.682,6,-17.088,1,0.925,0.821,0.0,0.807,0.285,78.405,4nvgOOsVAilfa3xgku5fSE,220267,1,Knee To The Groin,1,Movie Previews,43,https://p.scdn.co/mp3-preview/889d1c926dfedc3bb31898864edc5eeb2fdcf778?cid=774b29d4f13844c495f206cafdad9c86,15,spotify:track:4nvgOOsVAilfa3xgku5fSE,5T54YmcS3PsSghWrqivfms,Speechiness,Pablo Francisco,3Ac7ymYqL8NMoyhuU6vrNJ,4Hw7gSMzSX4B2p8ePKiQGj
0.608,0.282,7,-16.734,1,0.942,0.18,0.0,0.271,0.0854,92.908,1pXzHcdJf3ZyTgvXb8kRAO,129844,3,"Glück ist, wenn man trotzdem liebt (Ungekürzt)",1,"Glück ist, wenn man trotzdem liebt, Kapitel 1",0,,1,spotify:track:1pXzHcdJf3ZyTgvXb8kRAO,5T54YmcS3PsSghWrqivfms,Speechiness,Petra Hülsmann,1ZextgNkYVGPDljojdLXcY AND 0fcLOreQe6p3tv94knKYjU,3bjjsVtAoA4qCdBRNW18V2
0.728,0.646,8,-11.386,0,0.821,0.981,0.0,0.689,0.693,160.169,2T0FAQVhqqVpaevqn1IOrp,126938,4,160 BPM Non-Stop Running Cadence Military Workout,1,1234 United States Marine Corps (160 BPM),28,https://p.scdn.co/mp3-preview/bb05068a3358f054cd8839de6ea13b2fe3bc11b7?cid=774b29d4f13844c495f206cafdad9c86,23,spotify:track:2T0FAQVhqqVpaevqn1IOrp,5T54YmcS3PsSghWrqivfms,Speechiness,U.S. Drill Sergeant Field Recordings,3w67vFjSUU0hZqKtCgZXkP,24dUB3emF6ERaBLj0zAOnh
0.616,0.118,9,-22.115,0,0.949,0.56,0.0,0.0598,0.373,64.891,6Dopq1sUddYgcnJLC0pqZq,641160,4,Pohádky O Skřítku Racochejlovi,1,Jak Racochejl Zaplácl Hřiba,26,https://p.scdn.co/mp3-preview/f30cb34e36fe2a957d474f1583cbc89e5b9e977e?cid=774b29d4f13844c495f206cafdad9c86,3,spotify:track:6Dopq1sUddYgcnJLC0pqZq,5T54YmcS3PsSghWrqivfms,Speechiness,Jiřina Bohdalová,1ndpQw8Kn3ZO4WuU1wu23Y,1pqjSCQCTWi7h5MUo076GY
