acousticness,album,album_id,artist,artists_id,danceability,disc_number,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,name,playlist,popularity,preview_url,speechiness,tempo,time_signature,track_number,uri,valence
0.0822,Digital,3ZUPbvKeTsUb4XI0Cx5MLz,IDK,6aiFCgyKNwF9Rv5TOxnE8E,0.758,1,202578,0.522,4hjvUQo7a2Y5uCTR0Wtkkc,0.0,1,0.59,-4.717,1,Digital,HHEL4,41,https://p.scdn.co/mp3-preview/6f1e7795e3e9d6d1d0048b68606a8442cd4bf62d?cid=774b29d4f13844c495f206cafdad9c86,0.211,158.042,4,1,spotify:track:4hjvUQo7a2Y5uCTR0Wtkkc,0.304
0.114,IDK & FRIENDS :),7MyUIiX7nkyazdl4JqfMJK,IDK,6aiFCgyKNwF9Rv5TOxnE8E AND 6fxyWrfmjcbj5d12gXeiNV,0.653,1,150819,0.91,7hZoTr4ffMGqm9opMiGmBp,0.0,6,0.111,-3.797,1,ONCE UPON A TIME (FREESTYLE),HHEL4,61,https://p.scdn.co/mp3-preview/16141b9e21f5a379076f7f760f5c300fd6987d70?cid=774b29d4f13844c495f206cafdad9c86,0.319,91.102,4,3,spotify:track:7hZoTr4ffMGqm9opMiGmBp,0.818
0.019,"Burial (feat. Pusha T, Moody Good, TrollPhace)",3rOzXYxXqBUcw3u131mrjE,Yogi,0QiCCpzEYPFaWqkWtDQTmH AND 5he5w2lnU9x7JFhnwcekXX AND 0ONHkAv9pCAFxb0zJwDNTy AND 3EN8pUGJtYWutzf2fUxrDH AND 0OJ5ViZQUFL6ileg5HvKKy,0.689,1,226849,0.935,7DHX1Ng0V186U2idfFfjGi,0.000299,2,0.24,-4.449,1,"Burial (feat. Pusha T, Moody Good, TrollPhace)",HHEL4,52,https://p.scdn.co/mp3-preview/f4d3ace59628a708921aa9ad21df35bf7f6623e5?cid=774b29d4f13844c495f206cafdad9c86,0.167,145.984,4,1,spotify:track:7DHX1Ng0V186U2idfFfjGi,0.391
0.00251,Channel Tres,4pbf36fsCW0oe7myRLZEtz,Channel Tres,4cUkGQyhLFqKHBtL58HYVp,0.879,1,194286,0.58,7j0cRMFBSC6CIpt3YVs2O5,0.00487,1,0.0996,-8.025,1,Jet Black,HHEL4,34,https://p.scdn.co/mp3-preview/43f320ab00ba0bba441dfed40f4cb969d83bdd83?cid=774b29d4f13844c495f206cafdad9c86,0.0684,104.981,3,3,spotify:track:7j0cRMFBSC6CIpt3YVs2O5,0.348
0.146,Brixton,6JI8IU4Q0QGTm20eXLkUxl,Jelani Blackman,0fjaIHFhiW9vWX8bncZCOo,0.771,1,202580,0.469,6tAXvSqQTQtl3RW3u2TKJ7,0.000847,8,0.187,-9.742,1,Brixton,HHEL4,17,https://p.scdn.co/mp3-preview/2b1634a30b33d2775bc88f60286274bc543fb236?cid=774b29d4f13844c495f206cafdad9c86,0.0425,107.043,4,1,spotify:track:6tAXvSqQTQtl3RW3u2TKJ7,0.393
0.15,Nobody's Son,1nYo8G0yJixkxPx1PrPwTd,Jelani Blackman,0fjaIHFhiW9vWX8bncZCOo,0.784,1,186667,0.503,05ZU87SE24T8oZa82GfAST,0.00108,6,0.15,-9.222,0,Nobody's Son,HHEL4,34,https://p.scdn.co/mp3-preview/ce7db8920d748d8252dc85cba849885fb5b0f730?cid=774b29d4f13844c495f206cafdad9c86,0.285,143.88,4,1,spotify:track:05ZU87SE24T8oZa82GfAST,0.527
0.178,Timeless,6sDgfTdGeeoe2xjUVG25gg,James Blake,53KwLdlmrlCelAZMaLVZqU AND 68kEuyFKyqrdQQLLsmiatm,0.648,1,166547,0.577,35paindMNut8Sf4erMi23z,2.67e-06,9,0.103,-8.025,1,Timeless,HHEL4,33,https://p.scdn.co/mp3-preview/edfc5aa658e7233a140876fbc373ff446d1e3ae1?cid=774b29d4f13844c495f206cafdad9c86,0.0747,140.013,4,1,spotify:track:35paindMNut8Sf4erMi23z,0.192
0.0675,Death USB,2kOj2rqwwEKfk4rsZX2P86,Salmo,3hBQ4zniNdQf1cqqo6hzuW AND 0LhpncWOh05kPQvBxScHLI,0.528,1,177173,0.842,6vxCyAkHqs2CWzBAUzUoY2,0.0,11,0.0962,-5.18,0,Demons To Diamonds (feat. Fritz da Cat),HHEL4,33,https://p.scdn.co/mp3-preview/075b4c216575947bb5189325ee40063309524228?cid=774b29d4f13844c495f206cafdad9c86,0.293,79.203,4,5,spotify:track:6vxCyAkHqs2CWzBAUzUoY2,0.492
0.0745,Death USB,2kOj2rqwwEKfk4rsZX2P86,Salmo,3hBQ4zniNdQf1cqqo6hzuW,0.579,1,147533,0.635,3EipZQtF8uzDTb3nIPZBIa,0.0,7,0.123,-2.59,1,L.Fast & D.Young,HHEL4,32,https://p.scdn.co/mp3-preview/62c9221203445ae15c8d9bddec0c99b60d8f0674?cid=774b29d4f13844c495f206cafdad9c86,0.469,186.563,4,6,spotify:track:3EipZQtF8uzDTb3nIPZBIa,0.951
0.0248,Big Things,7DE2J9IfAHwHVaT0KCjeum,Old Man Saxon,1D0ulc9Z5jJV7Gtuw7t33U AND 0msL6Hxi4KdoSMxYIgoLzR,0.589,1,177187,0.62,3emkMgbjJrz2AOgeyUtzEP,0.00734,11,0.0948,-5.329,0,Big Things,HHEL4,23,https://p.scdn.co/mp3-preview/86cf039eb60ab2aaf326f0e661485f9fae08e0c2?cid=774b29d4f13844c495f206cafdad9c86,0.293,84.02,4,1,spotify:track:3emkMgbjJrz2AOgeyUtzEP,0.535
0.277,Stop Shooting,5iUqP3NGGyETgJDOVrG6pF,Old Man Saxon,1D0ulc9Z5jJV7Gtuw7t33U,0.833,1,231217,0.791,5fvMAl3lOk8WArwMmAjclE,0.000311,1,0.0958,-7.443,1,Stop Shooting,HHEL4,21,https://p.scdn.co/mp3-preview/0d6ab6ef521e9305380bc71a727f0da4971308a6?cid=774b29d4f13844c495f206cafdad9c86,0.0873,124.038,4,1,spotify:track:5fvMAl3lOk8WArwMmAjclE,0.338
