album,album_id,artist,artists_id,disc_number,id,name,playlist,playlist_id,popularity,preview_url,track_number,uri
Sol y Luna,0q0JtFDTRMuS0FzsVWRVzv,Alef,3AXR0vckCgEwDz8jXHkcvK,1,4FlR74PQh9SUnxDyFkoK1a,Sol,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,52,https://p.scdn.co/mp3-preview/ee795bb1a59dff800a22f7ee847cf4caaa8eb544?cid=e6971699b1de430f8161d4093d1d0d09,1,spotify:track:4FlR74PQh9SUnxDyFkoK1a
Inversions,6q7Lbo9YK1gZ0Goo8YJkwj,Nicola Cruz,0OltT51j3hIkgaDJqqPzDn AND 1uwIzl6et4DJg5lbmyMW0g,1,5CvXgeQ0qvPZymhzdovYGD,Tzantza - Matanza Remix,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,26,https://p.scdn.co/mp3-preview/3008a0892896e6d1d51856ab360b3acd33e4869c?cid=e6971699b1de430f8161d4093d1d0d09,4,spotify:track:5CvXgeQ0qvPZymhzdovYGD
Nyiduonge Drums,1brc8d6J9AUnNpiY1FvjEs,Owiny Sigoma Band,1C5MZsDbfzAMgDg0mOxCdY,1,1acFWHMOVQmMLxArojUxCZ,Nyiduonge Drums,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,32,https://p.scdn.co/mp3-preview/4022f6288df6f302750a2598635edb732834c4e6?cid=e6971699b1de430f8161d4093d1d0d09,1,spotify:track:1acFWHMOVQmMLxArojUxCZ
Cosmotronic,5gETVCPK8LmShTm4L5plOc,Cosmo,09LxneoTmRpuN3Jp8Ut4EX,1,1tF3VLbEhtSJK0KN04G6iV,L'amore,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,44,https://p.scdn.co/mp3-preview/50536c4b5bc1166a32354bae13a651845776f519?cid=e6971699b1de430f8161d4093d1d0d09,6,spotify:track:1tF3VLbEhtSJK0KN04G6iV
Be Mine (Throwing Snow Remix),5MkEjlDIGvNGqoTBDLA4ev,Tusks,2JexLbBGkh1FnSWF1uoehP AND 0Qur5LqqAVVunjY2PnjhUp,1,7wQRkOTY7EOSa7spsgDQ9c,Be Mine - Throwing Snow Remix,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,4,https://p.scdn.co/mp3-preview/cd31b2e05785e3b7d5d91e00167c7417cdeb9d15?cid=e6971699b1de430f8161d4093d1d0d09,1,spotify:track:7wQRkOTY7EOSa7spsgDQ9c
Cosmotronic,5gETVCPK8LmShTm4L5plOc,Cosmo,09LxneoTmRpuN3Jp8Ut4EX,2,1C4sdKE2fBhvpQtuIte6Ab,5 antimeridiane,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,22,https://p.scdn.co/mp3-preview/105eec99de530fa0808422bec77b85f062a661a7?cid=e6971699b1de430f8161d4093d1d0d09,5,spotify:track:1C4sdKE2fBhvpQtuIte6Ab
Movimento,33E3nbaZSGWg8pcYYctxvX,Carrot Green,56LbkVrwiOOlCLoIPVeEhY AND 3jSvMIKT2Eo5mNvYN9ownN,1,176U53VqK3no9NhQUPHoPL,Movimento - Noema's Luzes da Cidade Remix,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,14,https://p.scdn.co/mp3-preview/b5f2a15dfc14fabfa7c4beb2a025fb72355a62e9?cid=e6971699b1de430f8161d4093d1d0d09,2,spotify:track:176U53VqK3no9NhQUPHoPL
Currents B-Sides & Remixes,04uXkrNhFJ1iWEo88MGPva,Tame Impala,5INjqkS1o8h1imAzPqGZBb AND 4Oov8BULUOBiX6UVpP04JW,1,6aFxp3szJUOyI8MSDBKbFB,Reality In Motion - GUM Remix,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,39,https://p.scdn.co/mp3-preview/48ab588965630200e269581bb8f19e2bfcc263ca?cid=e6971699b1de430f8161d4093d1d0d09,4,spotify:track:6aFxp3szJUOyI8MSDBKbFB
Prender el Alma,7Mz3hUKPxQMZco25qZ6sQF,Nicola Cruz,0OltT51j3hIkgaDJqqPzDn,1,6qINThmTDYBm8twguFRueG,Cumbia del Olvido,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,64,https://p.scdn.co/mp3-preview/3838c67cf1cef08b8c1771531d08d9033679a09c?cid=e6971699b1de430f8161d4093d1d0d09,4,spotify:track:6qINThmTDYBm8twguFRueG
Cosmotronic,5gETVCPK8LmShTm4L5plOc,Cosmo,09LxneoTmRpuN3Jp8Ut4EX,1,59JGpUIrWjzqKt4R8YGdCI,Ho vinto,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,34,https://p.scdn.co/mp3-preview/7f412fa210e93f5d08905fd5131d1cc4c6c68ea6?cid=e6971699b1de430f8161d4093d1d0d09,9,spotify:track:59JGpUIrWjzqKt4R8YGdCI
Kasambila,4PQrenXKw4u8kuPvH4fI3W,Stavroz,7su1fG75ZwXHA6ei9Zcy7T,1,4s799uVMwPaoj53LY6l365,Perron 11,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,31,https://p.scdn.co/mp3-preview/937ffde04808b6781d7896965c72d78faa2ccadd?cid=e6971699b1de430f8161d4093d1d0d09,2,spotify:track:4s799uVMwPaoj53LY6l365
Kasambila,4PQrenXKw4u8kuPvH4fI3W,Stavroz,7su1fG75ZwXHA6ei9Zcy7T,1,7mnzEcaNC5S0VQZkGeDnI9,XS PLS,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,29,https://p.scdn.co/mp3-preview/044df53d91ebe4538ccfa24fa14b1fc16257c4f3?cid=e6971699b1de430f8161d4093d1d0d09,4,spotify:track:7mnzEcaNC5S0VQZkGeDnI9
Take Flight,0d6ky7EGJ0DBxCsSR9R5SR,Maya Jane Coles,6TshTCYwh9ySzOO6Jy4Ux2,1,3MENfQT8Ezlbo66tw2vTOm,Blackout,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,24,https://p.scdn.co/mp3-preview/658639a14153b397170a0fee5131e0f1adce4891?cid=e6971699b1de430f8161d4093d1d0d09,7,spotify:track:3MENfQT8Ezlbo66tw2vTOm
Microchip temporale,12oefbk3bd0IhHOw7DJqhq,Subsonica,7DzxfMQ3VNYR5vw2UFjzSK AND 09LxneoTmRpuN3Jp8Ut4EX,1,2ROvjto4euoyu8zbzpOw8p,Disco labirinto - feat. Cosmo,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,40,https://p.scdn.co/mp3-preview/38c1fb5408e51a9600056449e54fa524880c3248?cid=e6971699b1de430f8161d4093d1d0d09,9,spotify:track:2ROvjto4euoyu8zbzpOw8p
Inevitable Ending,6s6K1UwwPh6lgmhLCQxv5s,Armen Miran,4qxDuHrnTYQkihZiJYLWdy AND 6rdTxNwQhUJTodUx7voWXO,1,6T6prTkN0PgnGPdW7lZ7Jv,Aldebaran - Original,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,52,https://p.scdn.co/mp3-preview/ffe744b526b7e6ba009aa501da6c204c1cf98e13?cid=e6971699b1de430f8161d4093d1d0d09,2,spotify:track:6T6prTkN0PgnGPdW7lZ7Jv
Flauta EP,1if27g4UIZ8Vi0U4oeU5ab,OC & Verde,6wdPgZR2SnhEJ6DJ8L37lc,1,4xSdMJ0sX6HmDDtCdreo0Z,Gitarra - Original Mix,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,7,https://p.scdn.co/mp3-preview/8ac683a65cc05d810235f1a0b579c6821f797938?cid=e6971699b1de430f8161d4093d1d0d09,2,spotify:track:4xSdMJ0sX6HmDDtCdreo0Z
Take Flight,0d6ky7EGJ0DBxCsSR9R5SR,Maya Jane Coles,6TshTCYwh9ySzOO6Jy4Ux2,2,1niDimYPcqcRffO28YC9mO,Cherry Bomb,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,29,https://p.scdn.co/mp3-preview/d53362c46b74db2ecd9bc787f151e2b92de6c482?cid=e6971699b1de430f8161d4093d1d0d09,4,spotify:track:1niDimYPcqcRffO28YC9mO
