danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,disc_number,name,popularity,preview_url,track_number,uri,playlist,artists_id,album_id
0.194,0.114,2,-23.124,0,0.0457,0.167,0.923,0.0897,0.0558,85.074,2FOZhjP4KGNWoLnUb7pkK1,261320,5,1,Prophecy Theme,48,https://p.scdn.co/mp3-preview/8a1ab50edae437bfc2def3d8454ab9ae9bad87a2?cid=774b29d4f13844c495f206cafdad9c86,9,spotify:track:2FOZhjP4KGNWoLnUb7pkK1,dataset,"0PFtn5NtBbbUNbU9EAmIWF,7MSUfLeTdDEoZiJPDSBXgi,5S0AJvE9NB1kGrXRfYh690",5C6579KEvJj9AWaZtjSflC
0.235,0.362,7,-15.81,1,0.0435,0.335,0.0148,0.512,0.109,104.665,457i1Tmtmm2Z2XH6ILFPgE,84533,4,1,The Floating Fat Man (The Baron),24,https://p.scdn.co/mp3-preview/308a6a2b375470b23776e4e6f714f08069164089?cid=774b29d4f13844c495f206cafdad9c86,6,spotify:track:457i1Tmtmm2Z2XH6ILFPgE,dataset,0PFtn5NtBbbUNbU9EAmIWF,5C6579KEvJj9AWaZtjSflC
0.577,0.903,4,-9.162,0,0.157,0.179,0.901,0.336,0.578,136.553,4bXkJxL5o6ro4iLmBAl80E,322547,4,1,Homeless,38,https://p.scdn.co/mp3-preview/0ed7ad64876bc91fda190f803ca3d6b95543900e?cid=774b29d4f13844c495f206cafdad9c86,11,spotify:track:4bXkJxL5o6ro4iLmBAl80E,dataset,0uCCBpmg6MrPb1KY2msceF,1C30LhZB9I48LdpVCRRYvq
0.582,0.949,7,-7.958,1,0.154,0.00079,0.606,0.0898,0.0327,123.999,1AVrv7FD10FoKW38oBiKRg,449493,4,1,Bloom (Blawan Rmx),19,,14,spotify:track:1AVrv7FD10FoKW38oBiKRg,dataset,4Z8W4fKeB5YxbusRsdQVPb,47xaqCsJcYFWqD1gwujl1T
0.742,0.0899,9,-19.187,0,0.158,0.0906,0.0,0.113,0.351,137.473,2CeqxyOZEyiL6pTDYZ9gPH,201333,4,1,Fever,66,https://p.scdn.co/mp3-preview/63e680bc7dd3c5b2c97d055138bec835c910abb1?cid=774b29d4f13844c495f206cafdad9c86,6,spotify:track:2CeqxyOZEyiL6pTDYZ9gPH,dataset,602DnpaSXJB4b9DZrvxbDc,16BF4fvjjxlzrdKrUl4k5F
0.376,0.368,4,-19.084,1,0.0315,0.813,0.916,0.111,0.186,100.972,5ViM2bwFjNqx6K7w1iFlOE,231467,4,1,Somewhere I Belong,52,https://p.scdn.co/mp3-preview/a915b286cbb6a7e0081ef80756cd84280b6f16a1?cid=774b29d4f13844c495f206cafdad9c86,11,spotify:track:5ViM2bwFjNqx6K7w1iFlOE,dataset,38CPjAAqYV8lTYi6clzbjG,1q2ErTOAW7U3cx1LqucD1a
0.589,0.511,0,-10.961,1,0.0333,0.0166,0.89,0.125,0.896,139.1,3uf5RwbZC29rMTyr6ZXX0H,234914,4,1,Shida,53,https://p.scdn.co/mp3-preview/a84b63589ba6244e9506ea5f85bbfe1dc17dd0e4?cid=774b29d4f13844c495f206cafdad9c86,10,spotify:track:3uf5RwbZC29rMTyr6ZXX0H,dataset,2mVVjNmdjXZZDvhgQWiakk,06814vxpRbL5CPMk1CTvOk
0.713,0.347,8,-11.871,0,0.0576,0.838,0.937,0.111,0.372,84.007,7vfILe0geNdQ7ilJYF45SU,424080,4,1,Abusey Junction,64,https://p.scdn.co/mp3-preview/671bee9854d8be96510396f4705bde7d7a535d77?cid=774b29d4f13844c495f206cafdad9c86,4,spotify:track:7vfILe0geNdQ7ilJYF45SU,dataset,3u9rbdcmA6CxjxOAkjaeFr,7MeDqREJNAU5D80vI2xCol
0.483,0.699,5,-4.683,0,0.0501,0.000728,0.179,0.315,0.568,99.945,3Blaxlb5zTwBwTRrARb7di,171619,4,1,One Cup of Happiness,57,https://p.scdn.co/mp3-preview/983447093250da16f3ea41ef68de0e5cd78ff395?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:3Blaxlb5zTwBwTRrARb7di,dataset,6ap5FlXui4P9SWOKz98o9Z,6J1uOpuz9BCrysnl7hDRSS
0.632,0.396,2,-12.926,0,0.0324,0.11,0.827,0.101,0.885,81.734,0Jx3En8dPUt53P1gXyaOLZ,221219,4,1,The Number 4,51,https://p.scdn.co/mp3-preview/bf6235da836b69fd065f1674dd59ad3a0e4ca128?cid=774b29d4f13844c495f206cafdad9c86,3,spotify:track:0Jx3En8dPUt53P1gXyaOLZ,dataset,2mVVjNmdjXZZDvhgQWiakk,5hEpJAnE6SPm4CDnjGt3OL
0.513,0.393,2,-13.338,1,0.0305,0.563,0.894,0.907,0.513,82.616,230tKtsKM3eigmK2CtssAO,209025,4,1,A Calf Born in Winter,58,https://p.scdn.co/mp3-preview/c17e78893a1430ac275851e9dd31139305c96086?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:230tKtsKM3eigmK2CtssAO,dataset,2mVVjNmdjXZZDvhgQWiakk,7At6mG0vv1DWLVuRrRr3S0
0.655,0.372,11,-10.878,0,0.0297,0.533,0.913,0.0972,0.689,81.402,6fsrSoXQfD9kZUknVBGWS9,219415,4,1,The Recital That Never Happened,49,https://p.scdn.co/mp3-preview/ef717199ad61408b81cfe2db40a7a3d0af676d1e?cid=774b29d4f13844c495f206cafdad9c86,2,spotify:track:6fsrSoXQfD9kZUknVBGWS9,dataset,2mVVjNmdjXZZDvhgQWiakk,7At6mG0vv1DWLVuRrRr3S0
0.547,0.537,11,-9.923,0,0.0321,0.0867,0.893,0.0979,0.709,84.959,3zUM8mxX7fMh3eSARfnazf,181225,4,1,Master of Life,49,https://p.scdn.co/mp3-preview/beb0a6b6b6cc65df158ba826be0b3104b417a698?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:3zUM8mxX7fMh3eSARfnazf,dataset,2mVVjNmdjXZZDvhgQWiakk,5hEpJAnE6SPm4CDnjGt3OL
0.542,0.518,1,-11.332,0,0.0313,0.224,0.858,0.0797,0.531,85.922,1e5nuWd8w0ZQlgEA19okwE,163962,4,1,The Number 3,49,https://p.scdn.co/mp3-preview/4d41c831071ac5826c01fc61b490345295b1436e?cid=774b29d4f13844c495f206cafdad9c86,2,spotify:track:1e5nuWd8w0ZQlgEA19okwE,dataset,2mVVjNmdjXZZDvhgQWiakk,5hEpJAnE6SPm4CDnjGt3OL
0.403,0.557,11,-7.842,0,0.0447,0.349,0.00234,0.109,0.319,203.928,15Y7Dc86Wj6jMnwnuyza7j,263976,4,1,Máquina del Tiempo,50,https://p.scdn.co/mp3-preview/196228f47d21163bae22ac6661ab2f0fbc163427?cid=774b29d4f13844c495f206cafdad9c86,2,spotify:track:15Y7Dc86Wj6jMnwnuyza7j,dataset,2uxy7shOeojRrRr9EwD2t7,0609boj0n6y9QvmgeNcUzr
0.701,0.779,7,-12.888,1,0.0573,0.0988,0.844,0.363,0.384,147.022,45FAMJcFXi54enCDY0zUMy,392593,4,1,Via Sub Mids,34,https://p.scdn.co/mp3-preview/7d1e9c4ff8aca84f83cef115078dadd105e2ba75?cid=774b29d4f13844c495f206cafdad9c86,5,spotify:track:45FAMJcFXi54enCDY0zUMy,dataset,2qwi0hBvI2GrbkurOnw3hZ,3yXIkSJWpudtgF0TZuB16U
0.635,0.225,6,-15.183,0,0.0536,0.887,0.597,0.116,0.141,118.816,2b6VK3Re0nON3sLFLK1qQa,262093,4,1,Lust,47,https://p.scdn.co/mp3-preview/1efb398f0a1277c0a8d8fd502e486eb9cc8982f5?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:2b6VK3Re0nON3sLFLK1qQa,dataset,6lHO1eGthNnos9KP2BH0cG,1pcsWOIF1jxRMaIdRhWHjG
0.831,0.686,6,-8.945,0,0.076,0.129,0.516,0.0835,0.465,120.966,5dZ8vK6v8Q7esoixhk3VHD,307438,4,1,Ahmad - Damiano Von Erckert Mix,16,https://p.scdn.co/mp3-preview/de481cd7656c286a839574b76992f1cd8e48e77b?cid=774b29d4f13844c495f206cafdad9c86,2,spotify:track:5dZ8vK6v8Q7esoixhk3VHD,dataset,28Y1hMhuru402KjzFJDegi,5Azt3sbaFAcOEtWlnOOFyY
