acousticness,album,album_id,artist,artists_id,danceability,disc_number,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,name,playlist,popularity,preview_url,speechiness,tempo,time_signature,track_number,uri,valence
0.0614,V,2U528Y4o2Vz542YBcpQGiD,Aaron Goodvin,5EbZ3EVGLkAoDJfn89PDXW,0.564,1,186213,0.73,3nBzeyFCP1RFzKqmBytzpM,0.0,8,0.091,-5.414,1,Every Time You Take Your Time,The Sound of Everything,45,https://p.scdn.co/mp3-preview/a04a2ba67138f1c2d12e35ea4d603a805b64cc87?cid=774b29d4f13844c495f206cafdad9c86,0.0449,90.045,4,8,spotify:track:3nBzeyFCP1RFzKqmBytzpM,0.624
0.254,Don't Play,6xWw24oa3FVpU4Q30quSBK,anders,6G1yTgvoYsuVb2Ja8cVVJ2,0.764,1,137609,0.445,0EXjHqEgvA6pfC2dFgjftW,0.000126,0,0.0997,-9.38,0,Don't Play,The Sound of Everything,54,https://p.scdn.co/mp3-preview/d6d511cfd3f69dc407c123c83cd20ffd4d9e7461?cid=774b29d4f13844c495f206cafdad9c86,0.0574,139.953,4,1,spotify:track:0EXjHqEgvA6pfC2dFgjftW,0.291
0.121,Grew Up On That (Quarantine Edition),6OaqgRfFDDPBbEdXvTmUxZ,High Valley,5sQqZtsAbXAoAnvA8iN9kN,0.651,1,172067,0.762,1dwYdVvxMwMllDgwQuXMGs,0.0,9,0.167,-6.084,1,Grew Up On That,The Sound of Everything,62,https://p.scdn.co/mp3-preview/efce27ccbe39c0e128746ced647b94407b409c56?cid=774b29d4f13844c495f206cafdad9c86,0.0284,109.959,4,2,spotify:track:1dwYdVvxMwMllDgwQuXMGs,0.292
1.11e-05,A Blunt Description of Something Obscene,5UTn7bm2ji5mmqEo7zd21y,Protosequence,1lFTm0bEh8bX8YfiUS9ACz,0.452,1,385540,0.982,7ricL0HEtUztl5M8rOlzj1,0.723,6,0.0554,-3.872,0,A Blunt Description of Something Obscene,The Sound of Everything,6,https://p.scdn.co/mp3-preview/be6225001b323d11518831c791d4f1f0153afb9b?cid=774b29d4f13844c495f206cafdad9c86,0.142,117.554,4,2,spotify:track:7ricL0HEtUztl5M8rOlzj1,0.238
0.206,Someone Else,43PrBCExe9DKwdI9TJKAtc,Rezz,4aKdmOXdUKX07HVd3sGgzw AND 4fv1OFJywZ7DHCz3mVQQ45,0.644,1,198947,0.349,4hR3hQKELrARHNZJ51D14s,3.36e-05,2,0.125,-5.315,0,Someone Else,The Sound of Everything,63,https://p.scdn.co/mp3-preview/31adeef6e5e6bd610e3db0a7afda048f4c3fb4eb?cid=774b29d4f13844c495f206cafdad9c86,0.0364,94.971,4,1,spotify:track:4hR3hQKELrARHNZJ51D14s,0.246
0.0365,Dirty Pretty Things,4oklIL1fwLZjwvqkyFmSdf,Delaney Jane,3fuxStOqQv8TiytHeuGiE8,0.628,1,188000,0.606,1bjYAjG9f8cVyjY3kkzBOd,0.0,10,0.275,-6.67,0,Safe With You,The Sound of Everything,41,https://p.scdn.co/mp3-preview/69f88e4f93b50f56d1070a49f9aaeb5d5db624d1?cid=774b29d4f13844c495f206cafdad9c86,0.0833,144.877,4,5,spotify:track:1bjYAjG9f8cVyjY3kkzBOd,0.431
0.0258,The Big Mango,6ipzvYbe6ewq66YBpWiDzl,Land Of Kush,46FCeck1Py53n0YXC8RuxF,0.247,1,450049,0.74,7ijL333t4Oh99dsAppvZBw,0.626,0,0.412,-6.878,1,The Pit (Part 1),The Sound of Everything,5,https://p.scdn.co/mp3-preview/4a7e53724343d252ad99e33e56bbd5dcbc9ea6b4?cid=774b29d4f13844c495f206cafdad9c86,0.0423,164.938,4,3,spotify:track:7ijL333t4Oh99dsAppvZBw,0.849
0.91,Bravado,6HG6bnPHDDW3R6RBlJBFGq,Rose Cousins,3DIk8KcmVKTr4uGw3AuCtJ,0.354,1,247631,0.262,7LEGwwvRtilCPvNrHxxRGw,0.00315,2,0.121,-11.762,0,The Swimmer (To Be an Old Man),The Sound of Everything,56,https://p.scdn.co/mp3-preview/2dcece97d685dc9ef7ef1bcf7c7e2ded356dc749?cid=774b29d4f13844c495f206cafdad9c86,0.0282,87.72,3,8,spotify:track:7LEGwwvRtilCPvNrHxxRGw,0.177
0.0023,Can't Get No,3CR6BO7eoOV25e1m6bXkla,Dead Ghosts,3p0vuGnsU3JN0ZVBLiJwmp AND 7uFSzY6oXuRHzbABeZ5rw1 AND 5JLQd48TqnIFWl8a78Qz4m AND 4rnXXkHiwZfoimiF6ywj3E AND 7EV8WMGs55kqEbklNHuQ2Z,0.288,1,196053,0.696,2VDxMrYLnQy8NdsKCzbdnO,0.0232,7,0.295,-7.315,1,Roky Said,The Sound of Everything,46,https://p.scdn.co/mp3-preview/4db351895895224d5dacc2198c56a15d7ae8afb8?cid=774b29d4f13844c495f206cafdad9c86,0.0444,136.531,4,6,spotify:track:2VDxMrYLnQy8NdsKCzbdnO,0.157
0.00637,School Jerks,282tHMMBfrppNfNBDpTLxC,School Jerks,5U86mmhgaEdgWIG89INytV,0.111,1,92853,0.997,3GBnISs2ZFRwOdSRe266lh,0.946,9,0.58,-0.412,0,Crux,The Sound of Everything,7,https://p.scdn.co/mp3-preview/1223b7edca89253d754a06ff1d2c12fe6976b02c?cid=774b29d4f13844c495f206cafdad9c86,0.105,192.672,4,4,spotify:track:3GBnISs2ZFRwOdSRe266lh,0.0374
0.729,Money Team,60GqE70Te0wv5oLjCmtekA,Friyie,3eXSznGfQxOSL8TGWUiV08,0.708,1,257541,0.503,75BYR4yu8k7RLYZY8yNIGh,0.0,1,0.0781,-10.329,1,Money Team,The Sound of Everything,37,https://p.scdn.co/mp3-preview/57d4570ae640ebe1277aefb65eb960e193b40e78?cid=774b29d4f13844c495f206cafdad9c86,0.227,105.08,3,1,spotify:track:75BYR4yu8k7RLYZY8yNIGh,0.268
0.171,Beaubien Dream,3COZ62rrbnuBooDHulY4zw,Project Pablo,2OHzpRiwkpxGE7IA0hnSko AND 0dns940bo2pILe1Flk0WH3,0.731,1,417738,0.945,6n44rF2nl6rF0q5DYgezS1,0.916,5,0.135,-7.84,0,Closer,The Sound of Everything,50,https://p.scdn.co/mp3-preview/7ccd2651a6f1111cf6620e356df9a17d1a92495b?cid=774b29d4f13844c495f206cafdad9c86,0.0566,122.02,4,1,spotify:track:6n44rF2nl6rF0q5DYgezS1,0.223
0.131,Welcome To The Night Sky,0vz1SlNzlwZ4Qyes30dXFL,Wintersleep,1VrpL9mx2a6WRolLh7mHrE,0.44,1,218973,0.723,1kVEX9FBvKC8531ALTrNfl,5.93e-05,9,0.134,-5.489,1,Weighty Ghost,The Sound of Everything,41,https://p.scdn.co/mp3-preview/2ac68a44c7b61c33ef16ce569058e5968c9af2b8?cid=774b29d4f13844c495f206cafdad9c86,0.0345,84.951,4,4,spotify:track:1kVEX9FBvKC8531ALTrNfl,0.196
0.336,The Party,2EhgysAt5fY85LYceFFpbE,Andy Shauf,5mFKYdmiYwNJTDtSzgFyQx,0.573,1,231827,0.321,62x2pgvYu0cMP4gfNpbTP9,0.00266,9,0.133,-8.979,1,The Magician,The Sound of Everything,38,https://p.scdn.co/mp3-preview/77ecae527a57507679c30114cf3988e8c3e42331?cid=774b29d4f13844c495f206cafdad9c86,0.026,135.192,4,1,spotify:track:62x2pgvYu0cMP4gfNpbTP9,0.273
0.777,It's My Way,3xqpKfDsGJYbCdMndvxZmd,Buffy Sainte-Marie,5exO2eW84QucBhrRhcK76x,0.512,1,140000,0.208,4MCI71gpCGwHsK2rv7c8pv,0.0,8,0.102,-15.605,1,Universal Soldier,The Sound of Everything,38,https://p.scdn.co/mp3-preview/db7d5cf0a190534c8a1e5c8b50b02bd856b6eaf5?cid=774b29d4f13844c495f206cafdad9c86,0.0522,97.745,4,7,spotify:track:4MCI71gpCGwHsK2rv7c8pv,0.426
0.0683,Indian Summer,240EnJaBvTLPCwCX7ux247,Drezus,08G2YWw73h9tgNN1CcqTOZ,0.844,1,183615,0.748,744B0eGBmmfnleCJ7nmKnT,0.0,11,0.103,-7.519,1,Warpath,The Sound of Everything,33,https://p.scdn.co/mp3-preview/d13f34212b2202fa89c9d44175bb6f38ae6b06ce?cid=774b29d4f13844c495f206cafdad9c86,0.316,136.095,4,10,spotify:track:744B0eGBmmfnleCJ7nmKnT,0.733
0.018,El Dorado Sunset,0T5gYtnmV1kB4HMmzfuXWW,Boogát,2y2bEk3zCBVBMDkrXgA29R AND 7p25ud4KGyJNzpFO8i78kp,0.792,1,219707,0.771,0z6ZIn5eEZWEzahWrVsK0k,0.0,6,0.0424,-5.511,0,Wow,The Sound of Everything,26,https://p.scdn.co/mp3-preview/09f0511aa1e786fdaf2b41c083450c4867d1508d?cid=774b29d4f13844c495f206cafdad9c86,0.108,112.993,4,12,spotify:track:0z6ZIn5eEZWEzahWrVsK0k,0.88
2.51e-05,Violent Restitution (Deluxe Reissue),35FT608MafK28IvnHv2xsN,Razor,4jvgoG685KIVaPYwqVF60B,0.27,1,199936,0.996,10JbxMr5YV6nEM1YtorHES,0.737,6,0.191,-4.423,1,Hypertension,The Sound of Everything,38,https://p.scdn.co/mp3-preview/9fd6815e0660aa95b769a3b66164abf1c1e07fc4?cid=774b29d4f13844c495f206cafdad9c86,0.153,113.082,4,2,spotify:track:10JbxMr5YV6nEM1YtorHES,0.117
0.0105,Divided By,7l5yT9aYyC4bCqKFMxh12Z,Structures,7ym3CMfXJCuyIMf60Vm9Wm,0.2,1,209720,0.962,57iX2Topj2Qa6MUcxDMTGj,0.00037,8,0.184,-2.067,1,/,The Sound of Everything,27,https://p.scdn.co/mp3-preview/48a84e4770fe0ac84808edca40ed61b53caaac17?cid=774b29d4f13844c495f206cafdad9c86,0.108,91.682,4,10,spotify:track:57iX2Topj2Qa6MUcxDMTGj,0.102
0.904,Facing the Truth,6XuIrJyxpdsI0DItKDRjMP,Julie Lamontagne Trio,6WZBdvYutIFkbOyJAd7ohg,0.459,1,240453,0.124,43OC8pQCCWMNpcB4HieCKa,0.573,10,0.1,-21.254,1,Taksim,The Sound of Everything,0,https://p.scdn.co/mp3-preview/c694c039d25d21cc6985e4c9b79e40ea76092fb2?cid=774b29d4f13844c495f206cafdad9c86,0.034,150.802,3,10,spotify:track:43OC8pQCCWMNpcB4HieCKa,0.179
