acousticness,album_id,artists_id,danceability,disc_number,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,name,playlist,popularity,speechiness,tempo,time_signature,track_number,valence
0.0541,5F3YJdIjGHhnUVuD96G1mz,3LEGPWdr7sarYtf2u0ETWN,0.764,1,234101,0.697,69dnPGepr8pA1LnWAPzbHL,0.756,9,0.127,-13.12,0,Posmean,000 - HOT // WAITING ROOM,26,0.0501,138.0,1,2,0.557
0.00975,0cQw0dDX2qmoFaMro9NRAZ,5bExv7CmxxcMrGBDQbvHLJ,0.672,1,307600,0.693,3xg6r9f39mTjiqPD38af8o,0.805,2,0.0726,-10.558,1,"Alegria, Vai Lá",000 - HOT // WAITING ROOM,2,0.04,127.956,4,1,0.297
0.228,06yyCBmJlTtk572VzOZBIQ,3WggbHDpj4rPKbL97zG5MQ,0.74,1,191307,0.541,7kyaFTKrT7ZukXj1irYqgp,0.869,7,0.143,-12.243,1,Six Pack,000 - HOT // WAITING ROOM,21,0.0437,105.067,3,5,0.245
0.263,1l9d1Zj9Iv2eOcdObVhdMy,3Sz7ZnJQBIHsXLUSo0OQtM,0.537,1,231724,0.558,1MJ5f5EYBC92ADD6xcz7nb,0.91,11,0.102,-8.678,1,Chamber Of Reflection,000 - HOT // WAITING ROOM,74,0.0929,131.037,4,9,0.505
0.045,587Clxxo1i5flgjvS52bEC,1LeVJ5GPeYDOVUjxx1y7Rp,0.828,1,317800,0.724,4dhARBZ8YLvm8oRDnCIeXr,0.0618,9,0.132,-7.217,1,Necessary Evil,000 - HOT // WAITING ROOM,61,0.113,96.2,4,8,0.694
0.000264,3N9tV0l74lqxcBegMv80S7,4skJp5OKvcc9eKokiuhi2s,0.411,1,209093,0.806,6iFwcRQsGBmW4paSWz5phj,1.08e-05,7,0.694,-3.836,0,Sweep Me off My Feet,000 - HOT // WAITING ROOM,46,0.0402,100.157,4,2,0.202
0.0196,17H4UKoN5TJu5DP6kjqUq6,"0Qur5LqqAVVunjY2PnjhUp,2qTWOMo1aFqVudILsX9pgo",0.457,1,257659,0.793,2zG2h4QpxUqBK8cD5EnYZC,0.000603,5,0.25,-6.552,0,Hypnotise,000 - HOT // WAITING ROOM,19,0.0498,119.961,4,3,0.0385
0.599,17H4UKoN5TJu5DP6kjqUq6,0Qur5LqqAVVunjY2PnjhUp,0.661,1,267418,0.593,2jOZDViupeFbXIl8lFF18C,0.828,3,0.116,-10.267,0,Linguis,000 - HOT // WAITING ROOM,15,0.0333,125.013,4,4,0.245
0.00733,3i6RN7tMvoH0tmHuVPSgqS,0Qur5LqqAVVunjY2PnjhUp,0.676,1,326023,0.859,1BMVzBA8utXNQoPJsSl23D,0.255,9,0.106,-6.498,1,Rheged,000 - HOT // WAITING ROOM,0,0.0378,125.014,4,1,0.0434
0.439,3HA1Ru1gEAgaxTywkJmBOL,0SwO7SWeDHJijQ3XNS7xEE,0.761,1,235387,0.637,6kblAEj0T0312fv5QWsXzo,0.0082,7,0.102,-8.169,1,Congratulations,000 - HOT // WAITING ROOM,61,0.0268,125.115,4,9,0.656
0.00648,15Tc3f1XzDKLodDXDELISe,0k17h0D3J5VfsdmQ1iZtE9,0.418,1,314947,0.64,5gmhl4WHU2eO3P9IYjnQb1,0.875,9,0.166,-12.441,1,One Of These Days - 2001 Remastered Version,000 - HOT // WAITING ROOM,29,0.061,138.642,4,1,0.353
0.824,4baa3THO8wKLMrASaem2Ri,6swk8GFDoEZ1cFDX70xyuO,0.501,1,390947,0.243,4XWXSIvvYVArvSrjpYQhnB,0.0671,0,0.0992,-12.002,1,The Flow,000 - HOT // WAITING ROOM,42,0.0271,89.94,4,2,0.0726
0.127,59GRmAvlGs7KjLizFnV7Y9,4frXpPxQQZwbCu3eTGnZEw,0.621,1,131727,0.767,0yBsLKSKitRvkaQOO0gMYf,0.0548,3,0.137,-7.849,0,Miguel's Happy Dance,000 - HOT // WAITING ROOM,48,0.0419,77.967,4,5,0.783
0.478,3ubaT7ml4R4UCXrL2QOK9z,0Pb1JB8ps5wlHniYSgRnum,0.712,1,262122,0.967,7A2DEFdR0AUep0A0P8W4dy,0.896,7,0.0808,-5.85,1,Ianah,000 - HOT // WAITING ROOM,10,0.0611,125.975,4,2,0.778
0.00291,5Bd46K8hcylV7O7xz2YqEX,1kR99O4MgSTasyeJh8UFCg,0.853,1,318246,0.497,5ZLfK3AvTbtzY7jI3erhpF,0.492,7,0.0587,-16.315,1,Burn with Me - Victoria Edit,000 - HOT // WAITING ROOM,38,0.0768,123.012,4,1,0.139
0.0162,32vuygHRrJeC9D8NaNQm0y,6lK8O3kyFThiTmgowQZGOH,0.682,1,321763,0.492,7IctzNEJucIBzkAWYg6np2,0.0456,9,0.107,-13.151,1,The Chain,000 - HOT // WAITING ROOM,52,0.0569,151.016,4,1,0.398
0.145,7Kmmw7Z5D2UD5MVwdm10sT,7gP3bB2nilZXLfPHJhMdvc,0.733,1,239600,0.71,7w87IxuO7BDcJ3YUqCyMTT,0.115,5,0.0956,-5.849,0,Pumped Up Kicks,000 - HOT // WAITING ROOM,84,0.0292,127.975,4,2,0.965
0.144,3jXvU3BbxtNU9q5XG4BvDh,0OltT51j3hIkgaDJqqPzDn,0.893,1,300000,0.766,7DrXaQF10NOAIqM1JGz8AE,0.742,10,0.0586,-10.463,0,Levanta Muertos,000 - HOT // WAITING ROOM,41,0.0774,120.01,4,1,0.553
0.00712,2iQctbkZmdgghfubZMZDJu,2tEyBfwGBfQgLXeAJW0MgC,0.718,1,321231,0.866,6ruteKKRuUOtbMVtYWkmdf,0.875,11,0.0762,-6.665,0,16 Pads [update 26092017] v2 (FIX 4 MPC),000 - HOT // WAITING ROOM,20,0.0403,129.986,4,4,0.156
