acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence
0.298,0.1985,0.2632,0.3528,0.0378,0.0278,0.192932,0.137
0.2004,0.386,0.3608,0.27999999999999997,0.0426,0.0551,0.192172,0.279
0.0988,0.215,0.4064,0.27,0.0214,0.0732,0.170346,0.03695
0.3392,0.2355,0.4096,0.36560000000000004,0.01976,0.0467,0.175838,0.2455
0.39039999999999997,0.1945,0.1416,0.38439999999999996,0.0324,0.0304,0.344234,0.1815
0.2624,0.3125,0.6656,0.01272,0.01958,0.10500000000000001,0.292184,0.3625
0.00218,0.338,0.6152,0.01024,0.0262,0.053500000000000006,0.235466,0.4455
0.02272,0.339,0.724,0.00956,0.048,0.0784,0.180184,0.449
0.01404,0.266,0.4848,0.2496,0.1392,0.0455,0.25814600000000004,0.2765
0.0428,0.4255,0.4848,0.12,0.016,0.0412,0.23847200000000002,0.329
0.00246,0.3145,0.5224,0.29359999999999997,0.028599999999999997,0.0448,0.23426,0.4265
0.00492,0.2345,0.6096,0.00046,0.028599999999999997,0.0837,0.168604,0.284
0.0015559999999999999,0.20600000000000002,0.5824,0.3528,0.0318,0.0326,0.259372,0.3975
0.22959999999999997,0.268,0.5176000000000001,3.2960000000000003e-06,0.09759999999999999,0.06,0.31065,0.394
0.028000000000000004,0.3105,0.6456000000000001,0.06760000000000001,0.01474,0.0363,0.236056,0.2785
0.02268,0.22549999999999998,0.536,0.3388,0.0308,0.05589999999999999,0.242124,0.322
0.0784,0.3075,0.27040000000000003,0.0,0.049,0.9570000000000001,0.14659,0.23700000000000002
0.1916,0.314,0.1888,0.0,0.039,0.946,0.163572,0.2445
0.3948,0.2925,0.152,0.001068,0.036,0.754,0.173108,0.285
0.017,0.341,0.005344,4.52e-06,0.01746,0.86,0.25839,0.1985
0.3372,0.312,0.152,0.0,0.0442,0.946,0.16306800000000002,0.21600000000000003
0.07239999999999999,0.255,0.248,0.0,0.07239999999999999,0.682,0.210356,0.12450000000000001
0.0764,0.3035,0.1,0.0,0.01974,0.909,0.340002,0.0855
0.072,0.304,0.22559999999999997,0.0,0.054200000000000005,0.942,0.185816,0.0427
0.22400000000000003,0.308,0.0944,0.0,0.01196,0.9490000000000001,0.129782,0.1865
0.16,0.342,0.2488,0.0,0.017660000000000002,0.9350000000000002,0.22769999999999996,0.2835
