acousticness,album_id,artists_id,danceability,disc_number,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,name,playlist,popularity,preview_url,speechiness,tempo,time_signature,track_number,uri,valence
0.822,2EtCDjAH8xbSG6jttRciWi,6HAdDbfnR8PXoiGqU5cJeD,0.374,1,261547,0.151,3g2NIIVJWAeP5qWeaVkERs,0.912,1,0.148,-18.913,1,May Be,The Sound of Everything,35,https://p.scdn.co/mp3-preview/591cc99f3f1fe80d6f0121d9a5f5b74f794f1cc9?cid=774b29d4f13844c495f206cafdad9c86,0.0463,107.744,4,1,spotify:track:3g2NIIVJWAeP5qWeaVkERs,0.183
0.783,5qbtnntl0QEtqGDkYw4vBB,3vFDvFtR8VKEITzDa2ddKe,0.681,2,255240,0.371,2l2ezBMXEfD7o6VLN1KXcA,0.0,4,0.105,-9.96,0,Saving Forever For You,The Sound of Everything,40,https://p.scdn.co/mp3-preview/d36421ee1673faa57e37684dc73b21f0ed1c380c?cid=774b29d4f13844c495f206cafdad9c86,0.0368,132.882,4,2,spotify:track:2l2ezBMXEfD7o6VLN1KXcA,0.488
0.724,5swCwkecIl1ZafeyxJYbYk,0CdbG1eHVjqjkQsGoH2u1V,0.643,1,200800,0.436,53iFMaNUXn6Oj8hUIKSO5a,0.459,1,0.11,-12.245,1,My Arms Were Always Around You,The Sound of Everything,52,https://p.scdn.co/mp3-preview/708b5cb22f13788307f8e72d869285d44290cf03?cid=774b29d4f13844c495f206cafdad9c86,0.0273,91.485,4,2,spotify:track:53iFMaNUXn6Oj8hUIKSO5a,0.422
0.327,1Adkukn6Z9MjyI1bw53nh9,73U1Zb71I5JwgC1qVqZ8NO,0.456,1,140680,0.54,0SQmgir2AkvVKa3snPcn2z,0.0,2,0.17,-4.593,1,"Coffee, God, And Cigarettes",The Sound of Everything,44,https://p.scdn.co/mp3-preview/951d795b4d63fd22de7760f4e937eea2272cb77c?cid=774b29d4f13844c495f206cafdad9c86,0.0433,149.746,4,9,spotify:track:0SQmgir2AkvVKa3snPcn2z,0.77
0.254,0kaYtACg9wLVZZyrqSEHyU,010NIu2EaWyKzN3YZ3lj0z,0.528,1,215693,0.647,71eZxQvmZs0scmUZcNPOlH,0.0,2,0.108,-3.038,1,International You Day,The Sound of Everything,33,https://p.scdn.co/mp3-preview/5670728604f11f48d4312daf4cc5a35dd94aaa6e?cid=774b29d4f13844c495f206cafdad9c86,0.0285,142.25,4,1,spotify:track:71eZxQvmZs0scmUZcNPOlH,0.404
7.78e-06,08quDHgIgzN1sbHUhHsWfI,2OT0ERzAikorOYSIrRDjzA,0.305,1,205987,0.898,5F7gYvXfsmz6s98YOeZCvP,7.61e-06,6,0.349,-3.507,0,Inferno,The Sound of Everything,13,https://p.scdn.co/mp3-preview/40e76ff99a4b14a49c35aeedabddce544dcd0f25?cid=774b29d4f13844c495f206cafdad9c86,0.0537,126.909,4,2,spotify:track:5F7gYvXfsmz6s98YOeZCvP,0.448
0.0978,15FM0OYy3K6vj8gdttFuui,6sN4xm5qw7NnXhZdbxX4eM,0.607,1,202765,0.967,1hOIhOZrPA1ymNeoeXkgtC,8.84e-05,0,0.341,-3.451,1,太陽系デスコ - ACTORS ver.,The Sound of Everything,16,https://p.scdn.co/mp3-preview/0769f5efffef3f381e6d2d0e75427663549fae29?cid=774b29d4f13844c495f206cafdad9c86,0.171,150.0,4,1,spotify:track:1hOIhOZrPA1ymNeoeXkgtC,0.558
0.00369,50BNI0eRJKERuS3zc9Ghes,"54f24706ua34STMhWSzPV7,3wgUGwReUoTsnLAC0ColFJ,4kHa8HWr9uOMPa6nIELrTJ,0OKjEr4iSUvgGSebJakjNF",0.499,1,265804,0.736,71TuFmpcMiQSrAbt94Zlrk,0.000124,5,0.108,-7.967,1,Black Fella/Whitefella - triple j Like A Version,The Sound of Everything,36,https://p.scdn.co/mp3-preview/9164723c72a9474cb6dff49bd7ee7c9479379046?cid=774b29d4f13844c495f206cafdad9c86,0.0377,149.577,4,1,spotify:track:71TuFmpcMiQSrAbt94Zlrk,0.893
0.544,30UxGPbbZgTh6Uyk6Ubdcn,72Q3HybMPVhG3c9N4A7kTL,0.528,1,385063,0.64,726jL4DA03vptKr05so4Zu,0.0,7,0.131,-3.238,1,Tudo a Ver Com Ele,The Sound of Everything,54,https://p.scdn.co/mp3-preview/e0aa691099cc062a4d19a2684fc4228684b49bb3?cid=774b29d4f13844c495f206cafdad9c86,0.0296,136.984,4,1,spotify:track:726jL4DA03vptKr05so4Zu,0.174
0.606,0pvkNHlGhAiT8F1GgFHXiJ,"30FU2yuy1nwsUfaAkVXZ1F,3z98zGf6fvMdgqeb5bc92v",0.541,1,295420,0.715,3wxdHOkuuVIywEvQzPX4Ot,0.0,7,0.0926,-4.649,1,Porque Tu Dudas,The Sound of Everything,21,https://p.scdn.co/mp3-preview/c63507d016e9de4bcf79cb720cbfde3e5934d50e?cid=774b29d4f13844c495f206cafdad9c86,0.0345,129.951,4,1,spotify:track:3wxdHOkuuVIywEvQzPX4Ot,0.306
